Timestamp,Sensor Type,Value1,Value2,Value3
1777292103062,4,2.6751,0.6397,-2.3582
1777292103072,5,517.8700,646.4250,14328.0000
1777292103080,2,-46.7250,1.5750,-10.0500
1777292103081,1,25.8153,-6.4143,0.2456
1777292103081,1,21.3449,-6.0188,1.1800
1777292103081,1,17.5648,-5.6698,-0.0150
1777292103131,9,7.5773,-5.0609,3.6252
1777292103131,4,-1.2104,0.0524,-2.6498
1777292103147,1,14.0791,-4.3044,-1.8254
1777292103147,1,5.9614,-3.4364,-13.2844
1777292103147,1,1.1818,-5.0913,-13.5700
1777292103148,2,-44.9250,-11.0250,-10.5000
1777292103201,9,7.5733,-5.1741,3.4706
1777292103201,4,1.4363,-4.2365,-0.0864
1777292103215,1,-1.4315,-5.0749,-0.0969
1777292103215,1,-13.5610,-7.5646,9.4113
1777292103215,1,-3.8492,-7.0430,9.3960
1777292103215,1,7.5087,-4.2422,5.2208
1777292103218,2,-44.9250,-13.8750,-6.3750
1777292103231,5,27.3600,186.5250,610.0000
1777292103269,9,8.9173,-4.0341,0.6145
1777292103270,4,-2.3350,0.6796,-0.7515
1777292103281,1,13.3140,-1.5840,-1.6777
1777292103281,1,12.6368,0.0646,-8.2585
1777292103281,1,16.3280,-4.8123,-11.5268
1777292103287,2,-43.8000,-17.7750,3.7500
1777292103340,9,8.7023,-3.7352,2.5474
1777292103340,4,-2.6967,1.7304,-2.3827
1777292103349,1,17.6420,-6.7220,-2.5382
1777292103349,1,14.5116,-7.6119,7.3974
1777292103349,1,8.0566,-12.1941,12.6541
1777292103349,1,4.0519,-13.8709,4.8514
1777292103357,2,-40.5000,-19.9500,-13.6500
1777292103392,5,13.3000,175.0000,319.0000
1777292103409,9,8.3832,-5.0665,0.4715
1777292103409,4,-2.4819,-2.6473,4.1940
1777292103414,1,6.1496,-8.9557,0.1343
1777292103414,1,3.3419,-4.2440,0.0416
1777292103414,1,4.0190,-7.6884,0.2381
1777292103428,2,-43.8000,-16.4250,-8.8500
1777292103478,9,6.3537,-7.3901,-1.0895
1777292103478,4,-1.3378,-1.9505,2.3327
1777292103483,1,3.8686,-8.0040,0.3182
1777292103483,1,6.8512,-12.1490,0.0703
1777292103483,1,10.0190,-13.6699,1.1961
1777292103506,2,-46.5000,-0.9000,-8.7000
1777292103547,9,5.6054,-7.4573,-3.0231
1777292103547,4,-2.1397,-4.5355,0.5215
1777292103547,1,8.5801,-12.1322,3.7660
1777292103547,1,11.2720,-12.8435,3.1277
1777292103547,1,8.9734,-10.5876,0.9209
1777292103547,1,3.7319,-7.0077,-3.7714
1777292103550,5,29.9600,189.5000,798.0000
1777292103573,2,-45.9000,0.5250,0.3750
1777292103614,1,8.2361,-7.9038,-6.4935
1777292103614,1,5.3486,-5.2487,-1.7689
1777292103614,1,-0.0024,-2.2484,1.0669
1777292103616,9,5.7653,-7.2587,-3.2006
1777292103616,4,0.5095,-0.3694,-1.0727
1777292103645,2,-46.5000,-0.8250,6.6000
1777292103681,1,-1.7402,-0.8740,1.5260
1777292103681,1,-2.2334,-0.5824,1.6475
1777292103681,1,-1.4809,-1.0603,0.8806
1777292103691,4,1.3694,-1.5423,0.5150
1777292103691,9,5.4012,-7.5469,-3.1688
1777292103709,5,40.7100,198.5250,998.0000
1777292103712,2,-44.0250,-1.4250,7.3500
1777292103747,1,-0.7792,-2.0913,1.2470
1777292103747,1,-0.6514,-4.0008,-4.7913
1777292103747,1,3.3281,-7.3860,-14.4814
1777292103747,1,18.0144,-17.6605,-18.8614
1777292103755,9,5.1702,-7.3498,-3.9268
1777292103766,4,-1.6872,2.7211,-0.7485
1777292103781,2,-45.5250,-0.1500,12.3750
1777292103814,1,21.5118,-17.5457,-11.2289
1777292103814,1,10.6193,-8.6853,-2.0438
1777292103814,1,2.8875,-2.6013,2.2178
1777292103825,9,5.8951,-6.6990,-4.0671
1777292103833,4,0.7813,-3.2965,-0.1851
1777292103852,2,-46.5750,-4.8000,14.1750
1777292103869,5,62.1200,218.0125,1554.0000
1777292103881,1,2.3614,-0.9422,-2.2872
1777292103881,1,5.3578,-2.5262,-5.0079
1777292103881,1,5.8421,-10.3825,-9.3849
1777292103894,9,5.1874,-7.1388,-4.2777
1777292103904,4,-0.3407,0.2256,2.2374
1777292103924,2,-43.7250,-1.3500,12.1500
1777292103947,1,5.4784,-13.7892,0.2566
1777292103947,1,2.1491,-7.4964,1.9137
1777292103947,1,-0.9619,-5.6124,1.0816
1777292103947,1,-3.9266,-7.0729,0.6479
1777292103963,9,3.1854,-8.8305,-2.8366
1777292103973,4,1.8949,2.1967,4.6473
